InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,CustomerName
INV24663,E002,Bluetooth Headphones,Electronics,45,2024-01-11 19:51:51,4.57,CUST48,France,Kimberly Carpenter
INV66333,E003,Smartphone Charger,Electronics,3,2024-06-22 13:16:35,90.0,CUST6,Italy,Paul Flores
INV37535,T002,Building Blocks Set,Toys,16,2025-06-24 03:44:33,36.01,CUST72,Norway,Amy Lowe
INV91351,T003,RC Car,Toys,10,2024-04-10 05:54:59,97.64,CUST23,Norway,Kimberly Obrien
INV13248,E003,Smartphone Charger,Electronics,48,2024-07-17 14:59:24,80.42,CUST95,Spain,Nathaniel Ross
INV44970,E003,Smartphone Charger,Electronics,45,2023-11-30 13:55:40,87.34,CUST61,Spain,Mr. Christopher Dunlap
INV36158,H002,Wall Clock,Home Goods,23,2024-06-19 08:17:11,23.07,CUST85,Spain,John Bird
INV62227,C003,Baseball Cap,Clothing,18,2023-10-22 10:09:45,35.76,CUST66,Norway,Krista Barrett
INV99065,H003,LED Desk Lamp,Home Goods,22,2023-09-09 04:11:58,87.83,CUST34,France,Katherine Johnson
INV86099,C002,Women's Jeans,Clothing,3,2023-12-01 21:43:13,44.02,CUST94,Italy,Mark King
INV67199,T001,Stuffed Bear,Toys,33,2023-12-08 14:01:28,90.05,CUST25,Netherlands,Amanda Singh
INV15817,T003,RC Car,Toys,28,2023-08-13 18:55:46,92.63,CUST69,Spain,Victoria Franklin
INV57739,H001,Ceramic Mug,Home Goods,5,2025-06-22 12:01:19,62.69,CUST85,Germany,John Bird
INV49363,H003,LED Desk Lamp,Home Goods,20,2025-06-24 14:52:08,33.29,CUST90,Netherlands,Erika Oliver
INV82667,E003,Smartphone Charger,Electronics,13,2024-10-15 13:48:15,68.05,CUST23,Netherlands,Kimberly Obrien
INV63225,H003,LED Desk Lamp,Home Goods,1,2024-06-18 10:26:46,21.81,CUST75,Italy,Mr. Ricky Spence
INV70946,H002,Wall Clock,Home Goods,29,2025-07-03 07:46:50,51.61,CUST95,France,Nathaniel Ross
INV96356,E002,Bluetooth Headphones,Electronics,19,2025-01-20 23:02:40,62.31,CUST12,Spain,Devin Lee
INV98184,C002,Women's Jeans,Clothing,15,2024-03-02 05:21:53,3.42,CUST32,Portugal,Nicholas Gonzalez
INV90120,E002,Bluetooth Headphones,Electronics,30,2024-10-09 22:55:44,57.99,CUST92,Norway,Ruben Murphy
INV74799,H001,Ceramic Mug,Home Goods,16,2024-01-10 23:53:10,0.0,CUST97,Germany,Meghan Hicks
INV65724,C001,Men's T-Shirt,Clothing,12,2025-07-24 18:51:29,46.99,CUST72,Spain,Amy Lowe
INV25906,H002,Wall Clock,Home Goods,9,2024-11-29 19:20:16,98.8,CUST77,Italy,Stacey Le
INV68008,T001,Stuffed Bear,Toys,47,2025-01-09 15:32:13,83.23,CUST71,Portugal,Jessica Sanchez
INV30861,T003,RC Car,Toys,31,2024-11-14 09:26:12,75.43,CUST82,Netherlands,Michael Payne
INV78327,H002,Wall Clock,Home Goods,41,2024-04-12 09:59:52,44.55,CUST92,Netherlands,Ruben Murphy
INV40735,C002,,Clothing,22,2024-07-04 19:39:58,8.98,CUST20,Spain,Anthony Robles
INV60205,T003,RC Car,Toys,10,2025-08-04 07:47:23,7.36,CUST53,Italy,Kimberly Garza
INV81121,H002,Wall Clock,Home Goods,27,2023-10-14 07:31:50,83.46,CUST50,United Kingdom,Andrew Russell
INV85456,H001,Ceramic Mug,Home Goods,31,2023-08-18 12:48:25,30.56,CUST50,Norway,Andrew Russell
INV80545,T003,RC Car,Toys,48,2025-02-21 21:57:49,89.88,CUST63,Spain,Debra Gray
INV45774,H001,Ceramic Mug,Home Goods,32,2023-09-10 14:09:28,34.28,CUST87,Norway,Laura Mack
INV31632,H002,Wall Clock,Home Goods,9,2025-05-10 19:26:48,3.67,CUST51,United Kingdom,Timothy Chandler
INV21003,T002,Building Blocks Set,Toys,28,2023-12-28 16:48:35,18.99,CUST34,Norway,Katherine Johnson
INV52906,C001,Men's T-Shirt,Clothing,30,2024-07-11 12:17:16,76.36,CUST49,Netherlands,Stacie Allen
INV65255,C002,Women's Jeans,Clothing,6,2024-12-05 00:42:20,75.15,CUST7,Italy,Holly Price
INV39389,T002,Building Blocks Set,Toys,5,2025-06-09 01:27:56,75.67,CUST32,Spain,Nicholas Gonzalez
INV12671,T001,Stuffed Bear,Toys,10,2024-04-12 04:35:44,47.88,CUST15,Spain,David Chaney
INV70952,T003,RC Car,Toys,17,2024-08-23 06:06:32,60.98,CUST96,Germany,Mary Fisher
INV31465,C002,Women's Jeans,Clothing,7,2025-03-26 00:56:05,92.96,CUST74,Norway,Jessica Preston
INV61990,T003,RC Car,Toys,13,2023-10-28 21:33:27,69.37,CUST81,Spain,George Frederick
INV23356,T003,RC Car,Toys,50,2024-06-15 21:51:37,80.75,CUST73,United Kingdom,Jill Frost
INV55508,H003,LED Desk Lamp,Home Goods,28,2025-06-19 13:29:31,7.83,CUST83,Italy,Jennifer Jones
INV11658,H001,Ceramic Mug,Home Goods,32,2023-11-28 15:47:02,96.12,CUST82,,Michael Payne
INV30052,H001,Ceramic Mug,Home Goods,12,2025-01-27 23:40:56,27.74,CUST69,Portugal,Victoria Franklin
INV70931,H001,Ceramic Mug,Home Goods,47,2025-04-09 09:46:19,32.91,CUST32,Germany,Nicholas Gonzalez
INV46559,H002,Wall Clock,Home Goods,16,2024-11-29 20:44:51,61.42,CUST49,Italy,Stacie Allen
INV13761,H002,Wall Clock,Home Goods,21,2024-02-14 17:45:04,22.0,CUST34,Italy,Katherine Johnson
INV46655,T001,Stuffed Bear,Toys,45,2024-05-20 20:14:08,2.0,CUST25,Germany,Amanda Singh
INV41635,T003,RC Car,Toys,27,2024-12-24 20:12:48,76.06,CUST89,Portugal,Alyssa Miller
INV94659,T003,RC Car,Toys,32,2024-11-12 00:37:40,10.21,CUST29,,Jennifer Orr
INV41890,C002,Women's Jeans,Clothing,43,2025-03-29 13:26:08,47.85,CUST68,Italy,Brian Johnson
INV65771,T003,RC Car,Toys,36,2024-07-15 12:48:32,70.58,CUST35,Netherlands,Drew Turner
INV42951,C001,Men's T-Shirt,Clothing,8,2024-02-25 11:29:19,12.84,CUST69,France,Victoria Franklin
INV35105,C001,Men's T-Shirt,Clothing,48,2024-12-19 10:04:01,72.73,CUST98,Netherlands,Jennifer Jennings
INV23176,C001,Men's T-Shirt,Clothing,19,2024-03-31 13:08:21,18.76,CUST2,France,Sherry West
INV45954,E001,Wireless Mouse,Electronics,4,2025-02-28 10:38:10,70.04,CUST17,Portugal,Tommy Cook
INV23446,E001,Wireless Mouse,Electronics,37,2024-05-29 17:05:24,48.39,CUST44,France,Mary Thompson
INV16734,C002,Women's Jeans,Clothing,31,2023-12-06 02:22:44,40.67,CUST10,United Kingdom,Julie Cardenas
INV29887,E003,Smartphone Charger,Electronics,37,2024-06-18 03:06:04,99.4,CUST16,Norway,Sherri Pierce
INV89471,T001,Stuffed Bear,Toys,40,2024-03-30 19:01:34,38.66,CUST57,Netherlands,Adrienne Adams
INV87139,H001,Ceramic Mug,Home Goods,20,2025-03-16 22:36:39,6.96,CUST95,Germany,Nathaniel Ross
INV37235,T002,Building Blocks Set,Toys,14,2024-05-08 02:57:21,16.55,CUST23,Germany,Kimberly Obrien
INV30517,E001,Wireless Mouse,Electronics,27,2024-11-15 21:37:12,47.52,CUST5,Spain,Megan Tanner
INV47762,T003,RC Car,Toys,19,2025-07-31 16:31:50,8.05,CUST30,Netherlands,Hannah Miller
INV91927,T001,Stuffed Bear,Toys,43,2024-03-01 15:28:43,12.36,CUST29,France,Jennifer Orr
INV44816,E003,Smartphone Charger,Electronics,5,2023-10-12 06:02:27,79.47,CUST77,Netherlands,Stacey Le
INV67560,E002,Bluetooth Headphones,Electronics,30,2025-07-17 11:04:17,70.27,CUST35,Portugal,Drew Turner
INV67377,E002,Bluetooth Headphones,Electronics,39,2023-09-21 15:43:46,73.72,CUST78,Netherlands,Ricky Perry
INV13390,E002,Bluetooth Headphones,Electronics,15,2025-07-02 20:56:32,59.13,CUST3,Netherlands,Michael Kim
INV85529,E001,Wireless Mouse,Electronics,49,2024-02-07 17:07:49,52.38,CUST57,Netherlands,Adrienne Adams
INV33788,T001,Stuffed Bear,Toys,28,2025-05-23 17:54:11,96.94,CUST61,Italy,Mr. Christopher Dunlap
INV63523,C003,Baseball Cap,Clothing,-21,2025-06-28 03:48:30,85.92,CUST43,Norway,Justin Moreno
INV74942,C002,Women's Jeans,Clothing,43,2024-09-25 20:01:42,4.63,CUST12,Italy,Devin Lee
INV43082,C003,Baseball Cap,Clothing,8,2024-09-28 18:44:09,82.67,CUST1,Portugal,Lawrence Delacruz
INV64165,E001,Wireless Mouse,Electronics,13,2025-01-23 13:10:19,62.64,CUST64,Portugal,William Rodriguez
INV16764,C001,Men's T-Shirt,Clothing,18,2025-02-24 04:46:12,92.84,CUST57,Portugal,Adrienne Adams
INV25915,E001,Wireless Mouse,Electronics,41,2025-04-26 08:42:45,71.27,CUST40,United Kingdom,Adam Lewis
INV82384,H001,Ceramic Mug,Home Goods,6,2024-03-29 04:07:51,46.68,CUST16,France,Sherri Pierce
INV75323,T003,RC Car,Toys,19,2025-01-14 09:57:18,42.13,CUST62,Portugal,Dylan Jones
INV41946,H002,Wall Clock,Home Goods,36,2024-01-07 13:57:57,19.87,CUST77,France,Stacey Le
INV19150,C002,Women's Jeans,Clothing,50,2024-10-09 12:22:28,93.49,CUST65,Netherlands,Amber Berry
INV10336,C002,Women's Jeans,Clothing,47,2024-06-12 21:22:11,58.41,CUST85,Portugal,John Bird
INV29476,H002,Wall Clock,Home Goods,35,2024-12-19 12:33:56,33.91,CUST98,Norway,Jennifer Jennings
INV69682,C003,Baseball Cap,Clothing,13,2025-07-26 08:41:40,57.61,CUST30,Norway,Hannah Miller
INV15720,C003,Baseball Cap,Clothing,48,2024-12-08 13:52:48,39.22,CUST85,France,John Bird
INV74923,E001,,Electronics,9,2025-01-07 21:29:16,33.87,CUST13,Portugal,Brandon Anderson
INV23069,H003,LED Desk Lamp,Home Goods,30,2023-08-27 05:14:54,41.59,CUST84,France,Matthew Ramirez
INV19807,H002,Wall Clock,Home Goods,17,2024-07-23 22:41:31,69.58,CUST84,Germany,Matthew Ramirez
INV53065,T002,Building Blocks Set,Toys,35,2024-09-04 11:31:45,63.05,CUST98,Portugal,Jennifer Jennings
INV80912,E001,Wireless Mouse,Electronics,40,2023-10-21 08:32:51,63.48,CUST37,Spain,Cassidy Wells
INV21846,H001,Ceramic Mug,Home Goods,7,2025-05-21 03:39:33,44.92,CUST89,Netherlands,Alyssa Miller
INV13794,E001,Wireless Mouse,Electronics,21,2023-10-08 10:40:52,36.49,CUST56,France,Charlene Ruiz
INV42007,H003,LED Desk Lamp,Home Goods,27,2025-03-13 06:33:20,17.83,CUST11,Norway,Justin Hart
INV91226,T002,Building Blocks Set,Toys,16,2025-01-02 21:13:55,15.17,CUST60,Netherlands,Anthony Williams
INV70236,C002,Women's Jeans,Clothing,43,2023-08-21 16:56:21,90.22,CUST87,France,Laura Mack
INV19681,H002,Wall Clock,Home Goods,23,2025-04-04 10:53:30,64.25,CUST55,Netherlands,Walter Ashley
INV69878,C002,Women's Jeans,Clothing,13,2024-09-08 17:35:35,11.56,CUST49,Italy,Stacie Allen
INV85341,C002,Women's Jeans,Clothing,45,2024-06-09 00:47:55,97.82,CUST85,Norway,John Bird
INV45976,E001,Wireless Mouse,Electronics,37,2025-07-14 01:47:08,91.15,CUST96,Portugal,Mary Fisher
INV47512,C001,Men's T-Shirt,Clothing,39,2024-08-06 07:58:25,64.03,CUST80,Netherlands,Zachary Evans
INV98835,T003,RC Car,Toys,50,2025-06-17 04:58:47,63.2,CUST81,United Kingdom,George Frederick
INV50492,H002,Wall Clock,Home Goods,3,2025-03-27 13:17:03,73.5,CUST12,Netherlands,Devin Lee
INV52823,T003,RC Car,Toys,27,2024-02-07 07:18:38,14.08,CUST70,Italy,Darrell Salazar
INV79579,H003,LED Desk Lamp,Home Goods,18,2024-01-27 09:21:21,91.49,CUST62,Netherlands,Dylan Jones
INV54396,E002,Bluetooth Headphones,Electronics,30,2023-10-28 05:07:29,75.66,CUST29,Norway,Jennifer Orr
INV83048,C003,Baseball Cap,Clothing,6,2024-09-19 00:30:24,27.18,CUST16,Portugal,Sherri Pierce
INV58311,T002,Building Blocks Set,Toys,48,2025-06-30 09:32:42,58.87,CUST82,Italy,Michael Payne
INV24201,T002,Building Blocks Set,Toys,15,2024-12-06 00:54:40,62.34,CUST72,Italy,Amy Lowe
INV89964,C001,Men's T-Shirt,Clothing,42,2023-10-15 23:08:03,82.56,CUST90,Netherlands,Erika Oliver
INV95097,H001,Ceramic Mug,Home Goods,8,2024-01-02 01:39:03,94.68,CUST39,Portugal,Gordon Carlson
INV25220,E002,Bluetooth Headphones,Electronics,16,2025-02-12 04:56:21,39.48,CUST48,Norway,Kimberly Carpenter
INV86983,T003,RC Car,Toys,47,2024-01-17 15:06:19,65.84,CUST63,Norway,Debra Gray
INV46666,E001,Wireless Mouse,Electronics,45,2024-08-25 07:54:37,44.89,CUST31,Italy,Margaret Evans
INV23022,T002,Building Blocks Set,Toys,24,2025-02-19 23:28:38,36.51,CUST51,Netherlands,Timothy Chandler
INV34878,E002,Bluetooth Headphones,Electronics,30,2023-11-13 07:43:21,64.53,CUST77,United Kingdom,Stacey Le
INV16629,C003,Baseball Cap,Clothing,16,2023-12-18 20:33:20,21.32,CUST98,Spain,Jennifer Jennings
INV86858,C001,Men's T-Shirt,Clothing,15,2024-07-13 05:22:20,79.08,CUST77,United Kingdom,Stacey Le
INV46342,E003,Smartphone Charger,Electronics,9,2025-02-15 09:07:33,80.05,CUST15,United Kingdom,David Chaney
INV27275,E001,Wireless Mouse,Electronics,23,2024-04-11 21:26:22,33.05,CUST23,Netherlands,Kimberly Obrien
INV16868,E003,Smartphone Charger,Electronics,48,2024-10-16 19:09:15,12.25,CUST9,Portugal,Erik Powell
INV68756,C003,Baseball Cap,Clothing,33,2025-04-10 03:58:13,45.75,CUST29,United Kingdom,Jennifer Orr
INV96363,H003,LED Desk Lamp,Home Goods,20,2024-11-23 23:25:23,96.44,CUST8,Portugal,Norman Pruitt
INV62640,H001,Ceramic Mug,Home Goods,44,2023-11-30 17:51:00,71.53,CUST57,Germany,Adrienne Adams
INV20589,C003,Baseball Cap,Clothing,39,2024-01-10 02:23:29,13.49,CUST80,Italy,Zachary Evans
INV59925,T001,Stuffed Bear,Toys,34,2024-06-08 16:31:09,51.05,CUST56,Germany,Charlene Ruiz
INV24996,T002,Building Blocks Set,Toys,42,2025-02-26 07:49:43,43.58,CUST30,Norway,Hannah Miller
INV54424,H002,Wall Clock,Home Goods,26,2024-10-10 03:27:43,31.94,CUST41,Netherlands,Amanda Vega
INV59060,E003,Smartphone Charger,Electronics,44,2024-12-09 02:26:39,10.03,CUST11,Germany,Justin Hart
INV66606,E002,Bluetooth Headphones,Electronics,48,2024-08-27 04:44:14,56.08,CUST76,Italy,Eugene Lambert
INV97819,E002,Bluetooth Headphones,Electronics,27,2024-08-08 15:23:55,86.94,CUST93,United Kingdom,John Campos
INV47700,T001,Stuffed Bear,Toys,20,2024-08-06 03:46:19,58.21,CUST28,France,Amanda Fox
INV96079,H002,Wall Clock,Home Goods,15,2023-11-30 12:44:50,84.69,CUST48,Germany,Kimberly Carpenter
INV46512,T001,Stuffed Bear,Toys,15,2024-10-24 20:25:26,97.48,CUST80,United Kingdom,Zachary Evans
INV89822,T002,Building Blocks Set,Toys,45,2024-05-11 01:03:14,18.86,CUST90,Netherlands,Erika Oliver
INV54541,C003,Baseball Cap,Clothing,1,2024-02-13 05:12:56,57.07,CUST52,Germany,Ashley Davis
INV28595,T003,RC Car,Toys,41,2023-09-12 03:20:26,74.87,CUST28,Norway,Amanda Fox
INV65028,H002,Wall Clock,Home Goods,22,2024-01-20 13:28:23,31.85,CUST42,Germany,Juan Johnson
INV16895,E003,Smartphone Charger,Electronics,11,2025-05-05 01:48:42,67.72,CUST35,Portugal,Drew Turner
INV96761,H001,Ceramic Mug,Home Goods,32,2025-04-24 16:05:39,42.0,CUST28,Germany,Amanda Fox
INV55242,H001,Ceramic Mug,Home Goods,8,2024-05-28 21:35:43,49.18,CUST86,Netherlands,Ricky Gonzalez
INV15952,C001,Men's T-Shirt,Clothing,26,2025-04-16 01:59:40,1.76,CUST39,Spain,Gordon Carlson
INV27987,C002,Women's Jeans,Clothing,19,2024-07-12 04:22:06,1.77,CUST96,Norway,Mary Fisher
INV33028,E003,Smartphone Charger,Electronics,25,2025-02-07 08:22:41,50.53,CUST86,Italy,Ricky Gonzalez
INV19447,H001,Ceramic Mug,Home Goods,48,2023-09-24 15:52:56,2.86,CUST10,Italy,Julie Cardenas
INV85465,H001,Ceramic Mug,Home Goods,37,2024-09-29 23:18:24,42.35,CUST15,Norway,David Chaney
INV12733,C003,Baseball Cap,Clothing,11,2025-05-05 16:45:05,0.0,CUST47,Germany,Kathryn Gomez
INV67240,E002,Bluetooth Headphones,Electronics,16,2024-10-31 21:26:24,40.64,CUST11,Norway,Justin Hart
INV50668,T003,RC Car,Toys,22,2024-03-25 12:07:35,78.13,CUST10,Germany,Julie Cardenas
INV79547,H003,LED Desk Lamp,Home Goods,13,2024-08-03 12:46:59,73.01,CUST83,France,Jennifer Jones
INV40968,E002,Bluetooth Headphones,Electronics,10,2024-04-30 07:10:56,18.18,CUST20,Germany,Anthony Robles
INV33218,T002,Building Blocks Set,Toys,32,2024-11-29 20:31:29,76.23,CUST58,Italy,Angela Ferrell
INV92210,C003,Baseball Cap,Clothing,10,2024-11-04 02:29:10,47.42,CUST81,Netherlands,George Frederick
INV46002,T001,Stuffed Bear,Toys,4,2024-08-06 18:28:17,8.34,CUST60,Portugal,Anthony Williams
INV14929,E001,Wireless Mouse,Electronics,24,2024-05-31 02:47:37,64.82,CUST12,Norway,Devin Lee
INV70648,T001,Stuffed Bear,Toys,36,2023-09-23 16:22:27,91.0,CUST74,Spain,Jessica Preston
INV52143,T001,Stuffed Bear,Toys,31,2025-01-06 05:29:33,95.81,CUST58,Germany,Angela Ferrell
INV55015,T003,RC Car,Toys,6,2025-01-09 23:31:29,18.08,CUST32,Portugal,Nicholas Gonzalez
INV67595,H003,LED Desk Lamp,Home Goods,34,2025-04-27 05:46:47,37.03,CUST37,Norway,Cassidy Wells
INV63578,C003,Baseball Cap,Clothing,-44,2025-04-15 01:54:23,79.13,CUST83,Italy,Jennifer Jones
INV18639,C003,Baseball Cap,Clothing,7,2025-03-05 14:04:27,29.13,CUST93,France,John Campos
INV53694,E002,Bluetooth Headphones,Electronics,38,2025-06-21 05:08:57,0.0,CUST40,Norway,Adam Lewis
INV26901,T001,Stuffed Bear,Toys,46,2023-11-06 11:16:17,56.33,CUST83,Italy,Jennifer Jones
INV26750,T002,Building Blocks Set,Toys,45,2025-07-13 19:09:55,10.25,CUST86,Norway,Ricky Gonzalez
INV76648,C003,Baseball Cap,Clothing,2,2024-08-17 11:14:43,18.85,CUST28,Italy,Amanda Fox
INV73736,C001,Men's T-Shirt,Clothing,15,2023-12-30 05:38:28,8.64,CUST13,United Kingdom,Brandon Anderson
INV96760,C003,Baseball Cap,Clothing,50,2025-05-05 04:46:16,60.13,CUST20,France,Anthony Robles
INV33703,T003,RC Car,Toys,50,2025-05-12 06:01:37,72.4,CUST6,Norway,Paul Flores
INV57749,T002,Building Blocks Set,Toys,47,2024-04-11 16:10:22,61.45,CUST97,Portugal,Meghan Hicks
INV40671,H003,LED Desk Lamp,Home Goods,16,2024-06-23 17:04:34,90.49,CUST25,Italy,Amanda Singh
INV98907,T001,Stuffed Bear,Toys,29,2024-11-26 10:15:32,78.03,CUST65,Norway,Amber Berry
INV31241,C001,Men's T-Shirt,Clothing,39,2023-12-31 09:06:08,6.17,CUST62,Italy,Dylan Jones
INV82684,E002,Bluetooth Headphones,Electronics,46,2025-01-21 04:32:21,29.22,CUST98,France,Jennifer Jennings
INV45755,H002,Wall Clock,Home Goods,33,2024-01-09 15:55:40,10.08,CUST29,Portugal,Jennifer Orr
INV55820,E001,Wireless Mouse,Electronics,27,2023-10-05 14:26:04,50.7,CUST31,Norway,Margaret Evans
INV20696,C003,Baseball Cap,Clothing,15,2023-09-09 11:36:10,93.15,CUST92,Italy,Ruben Murphy
INV29142,E003,Smartphone Charger,Electronics,3,2024-05-31 17:12:05,69.91,CUST18,Portugal,Victoria Kennedy
INV68799,T001,Stuffed Bear,Toys,1,2023-11-01 00:41:30,26.34,CUST20,Norway,Anthony Robles
INV24573,C002,Women's Jeans,Clothing,16,2024-06-15 04:26:10,5.73,CUST54,Portugal,Adam Suarez
INV18232,E002,Bluetooth Headphones,Electronics,32,2025-04-14 19:31:01,2.63,CUST66,Spain,Krista Barrett
INV28818,C002,Women's Jeans,Clothing,28,2023-08-13 22:23:04,35.93,CUST74,Norway,Jessica Preston
INV34551,T002,Building Blocks Set,Toys,43,2023-11-07 19:03:34,97.49,CUST9,United Kingdom,Erik Powell
INV61177,H002,Wall Clock,Home Goods,3,2025-05-23 14:05:09,98.12,CUST33,United Kingdom,Bonnie Robinson
INV56805,E002,Bluetooth Headphones,Electronics,23,2024-04-14 23:55:27,63.2,CUST99,Italy,Laura Davis
INV27486,E001,Wireless Mouse,Electronics,23,2025-02-21 12:19:34,81.54,CUST23,Portugal,Kimberly Obrien
INV72722,T002,Building Blocks Set,Toys,12,2023-12-28 02:17:50,71.89,CUST59,United Kingdom,Michael Murphy
INV48462,C001,Men's T-Shirt,Clothing,3,2024-03-03 01:31:32,32.24,CUST40,Norway,Adam Lewis
INV81176,H002,Wall Clock,Home Goods,17,2023-09-18 23:33:10,19.92,CUST46,United Kingdom,Melissa Brown
